SIT_PRO,T_UNIV,RAMA,ESTUDIOS_PADRE,ESTUDIOS_MADRE,MOV_IN,SEXO,EDAD,DISCA,SAT1,SAT2,TIC,TARGET,TARGET_LABEL,T_UNIV_BIN,SEXO_enc,MOV_IN_enc,TUNIV_pub_presencial,TUNIV_pub_distancia,TUNIV_priv_presencial,TUNIV_priv_distancia,TUNIV_privada,RAMA_artes,RAMA_ciencias,RAMA_sociales,RAMA_ingenieria,RAMA_salud,ESTUDIOS_PADRE_enc,ESTUDIOS_MADRE_enc
2,2,3,2,3,1,1,1,2,1,2,2,2,Contrato indefinido,Pública,0,1,False,True,False,False,0,False,False,True,False,False,1,2
2,2,3,3,3,2,1,1,2,1,1,2,2,Contrato indefinido,Pública,0,0,False,True,False,False,0,False,False,True,False,False,2,2
3,1,3,3,3,1,1,1,2,1,1,3,1,Contrato temporal,Pública,0,1,True,False,False,False,0,False,False,True,False,False,2,2
3,1,3,7,7,2,1,1,2,1,1,3,1,Contrato temporal,Pública,0,0,True,False,False,False,0,False,False,True,False,False,6,6
,1,3,8,2,1,1,1,2,1,2,2,0,Becario/Sin empleo,Pública,0,1,True,False,False,False,0,False,False,True,False,False,7,1
2,1,3,3,3,1,1,1,2,1,1,2,2,Contrato indefinido,Pública,0,1,True,False,False,False,0,False,False,True,False,False,2,2
,1,3,5,3,2,1,1,2,2,,2,0,Becario/Sin empleo,Pública,0,0,True,False,False,False,0,False,False,True,False,False,4,2
3,1,3,4,4,1,2,1,2,1,1,2,1,Contrato temporal,Pública,1,1,True,False,False,False,0,False,False,True,False,False,3,3
2,1,3,4,5,2,2,1,2,1,1,1,2,Contrato indefinido,Pública,1,0,True,False,False,False,0,False,False,True,False,False,3,4
2,1,3,8,6,1,2,1,2,1,1,2,2,Contrato indefinido,Pública,1,1,True,False,False,False,0,False,False,True,False,False,7,5
2,1,3,2,2,2,2,1,2,1,1,2,2,Contrato indefinido,Pública,1,0,True,False,False,False,0,False,False,True,False,False,1,1
3,1,3,4,2,2,2,1,2,1,1,2,1,Contrato temporal,Pública,1,0,True,False,False,False,0,False,False,True,False,False,3,1
3,1,3,3,4,1,2,1,2,1,1,2,1,Contrato temporal,Pública,1,1,True,False,False,False,0,False,False,True,False,False,2,3
,1,3,6,4,2,2,1,2,1,2,2,0,Becario/Sin empleo,Pública,1,0,True,False,False,False,0,False,False,True,False,False,5,3
3,1,3,4,8,2,2,1,2,1,2,1,1,Contrato temporal,Pública,1,0,True,False,False,False,0,False,False,True,False,False,3,7
2,1,3,2,4,2,2,1,2,1,1,2,2,Contrato indefinido,Pública,1,0,True,False,False,False,0,False,False,True,False,False,1,3
2,1,3,4,7,1,2,1,2,1,2,2,2,Contrato indefinido,Pública,1,1,True,False,False,False,0,False,False,True,False,False,3,6
3,1,3,9_NC,8,1,2,1,2,1,2,2,1,Contrato temporal,Pública,1,1,True,False,False,False,0,False,False,True,False,False,8,7
3,1,3,5,4,2,2,1,2,1,2,2,1,Contrato temporal,Pública,1,0,True,False,False,False,0,False,False,True,False,False,4,3
2,1,3,3,3,1,2,1,2,2,,2,2,Contrato indefinido,Pública,1,1,True,False,False,False,0,False,False,True,False,False,2,2
